id,author,length,created_at,like_count,retweet_count,full_text,source
1274431643554635777,BreitbartNews,159,2020-06-20 19:59:16,337,170,"“I’m absolutely certain that China is behind it,” said Peter Jennings, executive director of the Australian Strategic Policy Institute. https://t.co/yJCtZO1FjD",SocialFlow
1274426446761639936,BreitbartNews,28,2020-06-20 19:38:37,409,147,Wow! https://t.co/OfGb1RF45X,SocialFlow
1274421266393583616,BreitbartNews,28,2020-06-20 19:18:02,1435,412,Nope https://t.co/uLIbd2M54D,SocialFlow
1274415991695572994,BreitbartNews,60,2020-06-20 18:57:04,572,194,The viral sensation sweeping the web https://t.co/Kl4vFQ7kTU,SocialFlow
1274410720688574466,BreitbartNews,94,2020-06-20 18:36:07,323,340,Communist China's gruesome Yulin Dog Meat Festival continues unabated. https://t.co/z6kj9xUxFL,SocialFlow
1274405640362999810,BreitbartNews,147,2020-06-20 18:15:56,360,189,"At least two people were shot, one fatally, inside Seattle’s autonomous zone early Saturday morning, according to a report. https://t.co/rxH8rSuxE5",SocialFlow
1274404782363607041,BreitbartNews,47,2020-06-20 18:12:32,607,477,BLM in their own words. https://t.co/jGIp3Sdzyk,SocialFlow
1274399714268663811,BreitbartNews,125,2020-06-20 17:52:23,1797,1849,The United Nations Office at Geneva (UNOG) posted the flag of Antifa on its official Twitter account. https://t.co/aLlSsGCUxa,SocialFlow
1274394615471374342,BreitbartNews,145,2020-06-20 17:32:08,911,400,Will rich Entertainment Elites also vow never to hire PRIVATE security when they achieve their utopian police-free world? https://t.co/9KNPoR6CyL,SocialFlow
1274392427340664833,BreitbartNews,137,2020-06-20 17:23:26,0,456,RT @BobPriceBBTX: Woman with Two Infant Children Busted with 117 Pounds of Meth at Arizona Immigration Checkpoint https://t.co/VOhIAQdPtA,Twitter for iPhone
1274389341268312067,BreitbartNews,113,2020-06-20 17:11:10,441,214,NEW LOW: MSNBC should be ashamed for allowing this disgusting rhetoric over the airwaves. https://t.co/DZoXxGeSem,SocialFlow
1274384892038721536,BreitbartNews,36,2020-06-20 16:53:29,918,358,We are LIVE! https://t.co/Oi0cLeSWr7,Twitter for iPhone
1274384637834539008,BreitbartNews,140,2020-06-20 16:52:29,0,70,"RT @LibertarianBlue: EXCLUSIVE: Facebook Insider Reveals Juneteenth Day of Wokeness, ‘Diversity Scores‘ for Managers https://t.co/2yUyctdVI…",Twitter for iPhone
1274384115551387649,BreitbartNews,81,2020-06-20 16:50:24,907,343,Joe Biden is a radical extremist's dream: an empty shell. https://t.co/FH85opwPL3,SocialFlow
1274378960659513346,BreitbartNews,52,2020-06-20 16:29:55,292,119,Some headlines say it all... https://t.co/GcGo4zR40D,SocialFlow
1274373887225204737,BreitbartNews,79,2020-06-20 16:09:46,207,149,Democrat demonization of law enforcement intensifies... https://t.co/qbnuJZk4cF,SocialFlow
1274368825463627776,BreitbartNews,164,2020-06-20 15:49:39,19573,6289,"President Trump's justice department is defending women's sports from an Idaho lawsuit by transgender activists, and from the Supreme Court. https://t.co/Hc3obVXhwb",SocialFlow
1274368128785559554,BreitbartNews,140,2020-06-20 15:46:53,0,205,"RT @francesmartel: It's Summer Solstice, which means China is getting ready for the Yulin dog meat festival that was totally banned you guy…",Twitter for iPhone
1274363614078607361,BreitbartNews,176,2020-06-20 15:28:56,32281,18985,"REVEALED: An anti-deportation group partnering with George Soros's Open Society Foundation is one of the groups behind the ""defund the police"" movement. https://t.co/rmSYGkC583",SocialFlow
1274363192400109572,BreitbartNews,140,2020-06-20 15:27:16,0,13,"RT @SiriusXMPatriot: Breaking down the headlines on the @realDonaldTrump #TulsaRally, #ReopenAmerica, and #FlipTheHouseRed with @LizRNC, @P…",Twitter for iPhone
1274363151979593730,BreitbartNews,140,2020-06-20 15:27:06,0,25,RT @SiriusXMPatriot: Tune in to @SiriusXM 125 from 8-10pm ET TONIGHT to hear @POTUS @realDonaldTrump's #TulsaRally LIVE. Hosted by @Breitba…,Twitter for iPhone
1274358144425242627,BreitbartNews,96,2020-06-20 15:07:12,387,148,"CNN ""historian"" Doug Brinkley is a total phony--and has been for years.  https://t.co/fc2nKkcCv8",SocialFlow
1274352932058791936,BreitbartNews,203,2020-06-20 14:46:29,840,342,The Establishment Media is twisting itself into a pretzel trying to somehow explain why tonight's Trump rally is dangerous but the WEEKS of massive protests are somehow different. https://t.co/9V5zSsySPO,SocialFlow
1274347692143939584,BreitbartNews,180,2020-06-20 14:25:40,433,397,"Hollywood Elite Ansel Elgort accused of sexually assaulting 17-year-old girl. ""...the only words that came out of his mouth were ‘we need to break you in.'"" https://t.co/S6ttMGWiY5",SocialFlow
1274343153194106880,BreitbartNews,141,2020-06-20 14:07:38,28880,10834,"""They are like that one girlfriend you had that's just an idiot that believes every lie some guy tells her at a bar."" https://t.co/Yimr8YD1ck",SocialFlow
1274337816156278786,BreitbartNews,30,2020-06-20 13:46:26,630,272,Yikes. https://t.co/1eh48aqyPu,SocialFlow
1274332914197635073,BreitbartNews,275,2020-06-20 13:26:57,287,119,"The Department of Defense identified China and Russia as its chief adversaries in potential outer space warfare, announcing a new Defense Space Strategy aimed at deterring the threats posed by the two countries and maintaining U.S. dominance in space. https://t.co/cMFTJoYHSf",SocialFlow
1274327720697176064,BreitbartNews,164,2020-06-20 13:06:19,112,24,"Spoetzl Brewery, known for Shiner Bock beer, and Sprinkles Cupcakes are teaming up for an especially “Dad” confection for Father’s Day 2020. https://t.co/uDgK8Ew5Kg",SocialFlow
1274322268273901568,BreitbartNews,204,2020-06-20 12:44:39,342,154,Japan filed a diplomatic protest against Beijing after Chinese ships encroached on Japanese territory near the disputed Senkaku Islands in the East China Sea for a record 66th day. https://t.co/2fr4QkWy1d,SocialFlow
